name,address,longitude,latitude,rating,price_level,user_ratings_total,open_now,types,category
Black Pearl Tea House,"12911 Magnolia St A, Garden Grove",-117.9758557,33.7750395,4.2,1.0,162,True,"cafe, point_of_interest, food, establishment",drinking
Just Boba Tea House,"952 Gayley Ave, Los Angeles",-118.4481688,34.0629402,4.1,1.0,73,True,"cafe, point_of_interest, food, establishment",drinking
It's Boba Time - Little Tokyo,"372 E 2nd St, Los Angeles",-118.2396919,34.0477722,3.7,1.0,208,True,"cafe, point_of_interest, food, establishment",drinking
Volcano Tea House,"2111 Sawtelle Blvd, Los Angeles",-118.4425119,34.0391167,4.4,1.0,560,True,"cafe, store, point_of_interest, food, establishment",drinking
Cha For Tea - Woodbridge Village Center,"4740 Barranca Pkwy Suite 4740, Irvine",-117.7994717,33.6769807,4.2,1.0,236,True,"meal_takeaway, cafe, restaurant, point_of_interest, food, establishment",restaurant
Tea Maru - Housemade Boba,"724 S Spring St #107, Los Angeles",-118.2525938,34.0438135,3.8,1.0,55,True,"cafe, point_of_interest, food, establishment",drinking
Urban Location Boba Tea House Garden Grove,"10872 Westminster Ave #103, Garden Grove",-117.9393704,33.7593147,4.1,1.0,430,True,"meal_takeaway, cafe, store, restaurant, point_of_interest, food, establishment",restaurant
ALittle Tea,"158 W Valley Blvd, San Gabriel",-118.1021457,34.0794787,4.7,1.0,418,True,"cafe, point_of_interest, food, establishment",drinking
Presotea Westminster,"9211 Bolsa Ave suite 105, Westminster",-117.968068,33.7452998,4.6,1.0,156,True,"cafe, store, restaurant, point_of_interest, food, establishment",restaurant
WUSHILAND BOBA WCC,"10250 Santa Monica Blvd Suite 2770, Los Angeles",-118.4199591,34.0593679,4.2,1.0,143,True,"cafe, point_of_interest, food, establishment",drinking
Kung Fu Tea Westminster,"9709 Bolsa Ave, Westminster",-117.9600484,33.7457477,4.2,1.0,179,True,"cafe, restaurant, point_of_interest, food, establishment",restaurant
CHUBBI TEA SHOPPE,"9772 Garden Grove Blvd STE 1, Garden Grove",-117.9617993,33.7730287,4.5,1.0,35,True,"cafe, store, point_of_interest, food, establishment",drinking
Wushiland Boba,"140 W Valley Blvd Ste 104, San Gabriel",-118.102141,34.0788371,4.3,1.0,456,True,"cafe, point_of_interest, food, establishment",drinking
Quickly Rowland Heights,"18353 Colima Rd, Rowland Heights",-117.9046163,33.9886644,4.3,1.0,156,True,"cafe, store, point_of_interest, food, establishment",drinking
Tapioca Express,"228 W Valley Blvd STE 105, Alhambra",-118.124841,34.0783127,4.1,1.0,73,True,"meal_takeaway, cafe, restaurant, point_of_interest, food, establishment",restaurant
Ding Tea Bixby Knolls Long Beach,"3908 Atlantic Ave, Long Beach",-118.1848096,33.8294268,4.4,1.0,48,True,"cafe, restaurant, point_of_interest, food, establishment",restaurant
Boba Tea & Me,"1328 Wilshire Blvd, Santa Monica",-118.4889867,34.0264846,4.2,1.0,153,True,"cafe, point_of_interest, food, establishment",drinking
Boba Time,"11207 National Blvd, Los Angeles",-118.4294492,34.0274306,2.9,1.0,276,True,"cafe, store, point_of_interest, food, establishment",drinking
CHApu TeaShoppe,"8450 Garvey Ave Suit 102b, Rosemead",-118.0845595,34.0623932,3.9,1.0,14,True,"cafe, point_of_interest, food, establishment",drinking
"Y Tea Cafe: Boba, Fries, Crawfish","14291 N Euclid St Ste D105, Garden Grove",-117.9383976,33.7552427,4.4,1.0,235,True,"cafe, store, restaurant, point_of_interest, food, establishment",restaurant
Dim Sum Dumpling House,"417 W Main St, Alhambra",-118.131732,34.0931015,4.6,,11,True,"restaurant, point_of_interest, food, establishment",restaurant
Juicy Dumpling Factory,"6100 Warner Ave UNIT 103, Huntington Beach",-118.0224055,33.7151296,4.4,2.0,48,True,"restaurant, point_of_interest, food, establishment",restaurant
Super Dumpling,"1500 E Village Way #2197, Orange",-117.8373944,33.8257341,4.6,2.0,89,True,"restaurant, point_of_interest, food, establishment",restaurant
Dumpling Queen,"16244 Whittier Blvd, Whittier",-117.9841483,33.9404298,4.6,1.0,31,True,"restaurant, point_of_interest, food, establishment",restaurant
Jia Yan Dumpling,"106 W Foothill Blvd, Glendora",-117.8658789,34.1353966,5.0,2.0,17,True,"restaurant, point_of_interest, food, establishment",restaurant
Jiayuan Dumpling House,"1904 S Pacific Coast Hwy, Redondo Beach",-118.3766824,33.8163305,4.7,2.0,155,True,"restaurant, point_of_interest, food, establishment",restaurant
"Super Juicy Dumpling [Brea, CA]","2445 E Imperial Hwy a, Brea",-117.8674869,33.9126257,4.2,2.0,476,True,"restaurant, point_of_interest, food, establishment",restaurant
Prince Dumpling,"8801 Valley Blvd, Rosemead",-118.0774716,34.0816534,4.5,,80,True,"restaurant, point_of_interest, food, establishment",restaurant
Tian You Feng Dumpling House,"1428 S Azusa Ave Ste A, West Covina",-117.9076445,34.0477113,4.4,2.0,151,True,"meal_takeaway, restaurant, point_of_interest, food, establishment",restaurant
Bafang Dumpling,"21215 Hawthorne Blvd, Torrance",-118.3548836,33.8368804,4.2,,30,True,"restaurant, point_of_interest, food, establishment",restaurant
Tai He Ju Dumplings House 泰禾居饺子馆,"10333 Garvey Ave, El Monte",-118.0454544,34.0630515,4.9,1.0,41,True,"restaurant, point_of_interest, food, establishment",restaurant
Hui Tou Xiang,"1643 N Cahuenga Blvd, Los Angeles",-118.329691,34.1010182,4.5,2.0,188,True,"restaurant, point_of_interest, food, establishment",restaurant
Long Xing Ji Juicy Dumpling,"140 W Valley Blvd Ste 211, San Gabriel",-118.102016,34.078219,4.1,2.0,426,True,"restaurant, point_of_interest, food, establishment",restaurant
Din Tai Fung,"21540 Hawthorne Blvd #519, Torrance",-118.3507414,33.8333502,4.6,2.0,2377,True,"restaurant, point_of_interest, food, establishment",restaurant
